
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |          14.5391 +/- 1.8408 
             Par1 |     -0.0905211 +/- 0.013261 
             Par2 |         3.97614 +/- 1.45124 
             Par3 |      0.120675 +/- 0.0103119 
             Par4 |   0.00737054 +/- 0.00353211 
             Par5 | 2.18135e-14 +/- 7.16827e-06 
             Par6 |         98.8234 +/- 63.8795 
             Par7 |       -0.23643 +/- 0.556112 
             Par8 |          11.263 +/- 15.7658 
             Par9 |        0.57083 +/- 0.238476 


