
 TF_Par_C_00_24 |                Parameters 
           Par0 |    -0.311252 +/- 0.958935 
           Par1 |  -0.0124398 +/- 0.0119932 
           Par2 |      3.59824 +/- 0.929024 
           Par3 |   0.0864963 +/- 0.0110239 
           Par4 | 2.16215e-08 +/- 0.0305203 
           Par5 |  0.000574197 +/- 0.000209 
           Par6 |      -9.07887 +/- 9.92532 
           Par7 |  -0.0145954 +/- 0.0555527 
           Par8 |       39.8293 +/- 4.83778 
           Par9 | 2.37283e-07 +/- 0.0627611 


