
 TF_Par_G_00_24 |                 Parameters 
           Par0 |       -1.49181 +/- 1.59915 
           Par1 |   -0.0286787 +/- 0.0127653 
           Par2 |        5.74351 +/- 1.33315 
           Par3 |     0.0543359 +/- 0.012337 
           Par4 |       0.23436 +/- 0.106886 
           Par5 | 1.2783e-11 +/- 0.000105369 
           Par6 |        4.62763 +/- 6.36124 
           Par7 |     -0.12011 +/- 0.0451575 
           Par8 |        7.37783 +/- 3.29591 
           Par9 |     0.163401 +/- 0.0297508 


