
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |         14.2434 +/- 3.85526 
             Par1 |    -0.0943646 +/- 0.0271313 
             Par2 |          5.5563 +/- 2.53049 
             Par3 |      0.100014 +/- 0.0197978 
             Par4 |     0.0435776 +/- 0.0347752 
             Par5 | 7.25838e-11 +/- 9.15327e-05 
             Par6 |         62.0419 +/- 25.4011 
             Par7 |      -0.244015 +/- 0.187972 
             Par8 |          14.7317 +/- 14.087 
             Par9 |      0.254464 +/- 0.0993588 


