
 TF_Par_B_13_24 |                  Parameters 
           Par0 |         17.0051 +/- 4.82447 
           Par1 |      -0.135564 +/- 0.029769 
           Par2 |          8.4969 +/- 3.02166 
           Par3 |     0.0820609 +/- 0.0195282 
           Par4 |     0.0392234 +/- 0.0325563 
           Par5 | 5.18675e-05 +/- 0.000130571 
           Par6 |         81.4253 +/- 17.2902 
           Par7 |      -0.339927 +/- 0.161195 
           Par8 |         2.09016 +/- 30.3565 
           Par9 |        0.367874 +/- 0.19381 


