
 TF_Par_C_13_24 |                Parameters 
           Par0 |       43.3724 +/- 5.67799 
           Par1 |   -0.076619 +/- 0.0632027 
           Par2 |    0.000371007 +/- 10.124 
           Par3 |   0.0715267 +/- 0.0223707 
           Par4 |       7.10447 +/- 3.20994 
           Par5 | 2.07985e-07 +/- 0.0353132 
           Par6 |       15.3169 +/- 3.28929 
           Par7 |   -0.162461 +/- 0.0318035 
           Par8 |   5.66792e-07 +/- 1.11319 
           Par9 |   0.124203 +/- 0.00822465 


